groupname,overallocation,conflicts,undersupport,unavailable,unpreferred
gabymari,0,0,2,2,24
gabymari,0,0,4,0,24
gabymari,1,0,2,1,27
gabymari,0,1,0,0,30
gabymari,1,1,1,2,23
gabymari,0,1,2,1,23
gabymari,0,0,1,0,29
gabymari,1,0,1,1,28
gabymari,1,1,1,1,24
gabymari,2,0,0,1,28
gabymari,0,0,3,1,25
gabymari,0,1,2,0,24
gabymari,1,0,2,2,23
gabymari,1,0,0,1,29
gabymari,1,0,1,3,23
gabymari,0,0,6,0,22
gabymari,0,1,4,0,21
gabymari,0,0,4,2,22
gabymari,1,0,5,1,22
gabymari,1,4,0,1,26
gabymari,0,0,3,0,27
gabymari,2,1,0,2,24
gabymari,1,1,2,2,22
gabymari,0,0,5,1,23
gabymari,0,0,3,2,23
gabymari,1,1,3,0,21
gabymari,0,1,3,0,23
gabymari,0,4,1,0,27
gabymari,0,0,2,0,28
